(6-4)-photolyase	FBgn0016054	FI01404p	Q0E8P0	Q0E8P0_DROME
(6-4)-photolyase	FBgn0016054	Photolyase	Q24281	Q24281_DROME
(6-4)-photolyase	FBgn0016054	RE11660p	Q8SXK5	Q8SXK5_DROME
(A+T)-stretch binding protein	FBgn0039946	AT-rich binding protein	Q86P48	ATBP_DROME
1,4-Alpha-Glucan Branching Enzyme	FBgn0053138	1,4-Alpha-Glucan branching enzyme	A1Z992	A1Z992_DROME
1,4-Alpha-Glucan Branching Enzyme	FBgn0053138	LD03583p	Q8T0H4	Q8T0H4_DROME
14-3-3epsilon	FBgn0020238	14-3-3 protein epsilon	P92177	1433E_DROME
14-3-3epsilon	FBgn0020238	14-3-3 protein epsilon	P92177-1	1433E_DROME-1
14-3-3epsilon	FBgn0020238	14-3-3 protein epsilon	P92177-2	1433E_DROME-2
14-3-3epsilon	FBgn0020238	14-3-3 protein epsilon	P92177-4	1433E_DROME-4
14-3-3epsilon	FBgn0020238	""	""	FBpp0082988
14-3-3epsilon	FBgn0020238	""	""	FBpp0082989
14-3-3epsilon	FBgn0020238	""	""	FBpp0082990
14-3-3zeta	FBgn0004907	14-3-3 protein zeta	P29310	1433Z_DROME
14-3-3zeta	FBgn0004907	14-3-3 protein zeta	P29310-2	1433Z_DROME-2
14-3-3zeta	FBgn0004907	14-3-3 protein zeta	P29310-3	1433Z_DROME-3
14-3-3zeta	FBgn0004907	LD18434p	Q8SWR6	Q8SWR6_DROME
14-3-3zeta	FBgn0004907	""	""	FBpp0089338
14-3-3zeta	FBgn0004907	""	""	FBpp0099539
18 wheeler	FBgn0004364	18 wheeler	A1ZBR2	A1ZBR2_DROME
18 wheeler	FBgn0004364	18w protein	Q24591	Q24591_DROME
18 wheeler	FBgn0004364	GH23463p	Q961H0	Q961H0_DROME
18 wheeler	FBgn0004364	Tlr protein	Q7JPR9	Q7JPR9_DROME
26-29kD-proteinase	FBgn0250848	RE18380p	Q9V3U6	Q9V3U6_DROME
312	FBgn0029514	312 protein	Q9U3Y9	Q9U3Y9_DROME
312	FBgn0029514	GH16625p	Q9W0F9	Q9W0F9_DROME
48 related 1	FBgn0037475	48 related 1, isoform B	A0A0B4KFD8	A0A0B4KFD8_DROME
48 related 1	FBgn0037475	RH30329p	Q9VI67	Q9VI67_DROME
48 related 2	FBgn0038402	48 related 2, isoform B	Q9VEY3	Q9VEY3_DROME
48 related 2	FBgn0038402	48 related 2, isoform C	A0A0B4LIA7	A0A0B4LIA7_DROME
48 related 2	FBgn0038402	48 related 2, isoform D	A0A0B4LH78	A0A0B4LH78_DROME
48 related 2	FBgn0038402	48 related 2, isoform E	A0A0B4LH77	A0A0B4LH77_DROME
48 related 3	FBgn0037937	Protein Fer3	Q9VGJ5	FER3_DROME
5-hydroxytryptamine (serotonin) receptor 1A	FBgn0004168	5-hydroxytryptamine receptor 2A	P28285	5HT2A_DROME
5-hydroxytryptamine (serotonin) receptor 1A	FBgn0004168	""	""	FBpp0085761
5-hydroxytryptamine (serotonin) receptor 1B	FBgn0263116	5-hydroxytryptamine (Serotonin) receptor 1B, isoform D	E1JGM2	E1JGM2_DROME
5-hydroxytryptamine (serotonin) receptor 1B	FBgn0263116	5-hydroxytryptamine receptor 2B	P28286	5HT2B_DROME
5-hydroxytryptamine (serotonin) receptor 1B	FBgn0263116	5-hydroxytryptamine receptor 2B	P28286-2	5HT2B_DROME-2
5-hydroxytryptamine (serotonin) receptor 1B	FBgn0263116	""	""	FBpp0303089
