E1JIJ8_DROME	E1JIJ8	FBgn0000024	Ace
PUR4_DROME	P35421	FBgn0000052	ade2
ADH_DROME	P00334	FBgn0000055	Adh
ALF_DROME	P07764	FBgn0000064	Ald
Q2VYA0_DROME	Q2VYA0	FBgn0000079	Amy-p
ANXB9_DROME	P22464	FBgn0000083	AnxB9
E8NH50_DROME	P22465	FBgn0000084	AnxB10
RLA0_DROME	P19889	FBgn0000100	RpLP0
A8JNP2_DROME	A8JNP2	FBgn0000116	Argk
A1Z9D7_DROME	A1Z9D7	FBgn0000119	arr
ARRA_DROME	P15372	FBgn0000120	Arr1
ARRB_DROME	P19107	FBgn0000121	Arr2
A2VEF7_DROME	A2VEF7	FBgn0000157	Dll
Q7KM15_DROME	Q7KM15	FBgn0000181	bic
Q8WSN4_DROME	Q8WSN4	FBgn0000239	bur
CATA_DROME	P17336	FBgn0000261	Cat
CP190_DROME	Q24478	FBgn0000283	Cp190
CO4A1_DROME	P08120	FBgn0000299	Cg25C
CLAT_DROME	P07668	FBgn0000303	Cha
PROF_DROME	P25843	FBgn0000308	chic
MYO7A_DROME	Q9V3Z6	FBgn0000317	ck
Q9VMQ9_DROME	Q9VMQ9	FBgn0000318	cl
CLH_DROME	P29742	FBgn0000319	Chc
NSF1_DROME	P46461	FBgn0000346	comt
COS_DROME	O16844	FBgn0000352	cos
CUP_DROME	Q9VMA3	FBgn0000392	cup
Q9W2H2_DROME	Q9W2H2	FBgn0000395	cv-2
CYB5R_DROME	P19967	FBgn0000406	Cyt-b5-r
CPD1_DROME	P22058	FBgn0000412	D1
E1JI13_DROME	E1JI13	FBgn0000414	Dab
Q9Y125_DROME	Q9Y125	FBgn0000416	Sap-r
KGP1_DROME	Q03042	FBgn0000442	Pkg21D
Q7K1N5_DROME	Q7K1N5	FBgn0000451	ect
Q9VFQ9_DROME	Q9VFQ9	FBgn0000454	Dip-B
Q9VG79_DROME	Q9VG79	FBgn0000455	Dip-C
CP6A2_DROME	P33270	FBgn0000473	Cyp6a2
PDE4C_DROME	Q9W4S9	FBgn0000479	dnc
PDE4A_DROME	Q9W4T4	FBgn0000479	dnc
Q9VDC6_DROME	Q9VDC6	FBgn0000527	e
NU301_DROME	Q9W0T1	FBgn0000541	E(bx)
A4UZ51_DROME	A4UZ51	FBgn0000546	EcR
EF2_DROME	P13060	FBgn0000559	EF2
Q7YU43_DROME	Q7YU43	FBgn0000562	egl
Q7JXZ2_DROME	Q7JXZ2	FBgn0000566	Eip55E
E74EB_DROME	P11536	FBgn0000567	Eip74EF
E75BC_DROME	P17671	FBgn0000568	Eip75B
ENO_DROME	P15007	FBgn0000579	Eno
EST6_DROME	P08171	FBgn0000592	Est-6
FAS2_DROME	P34082	FBgn0000635	Fas2
A8DZ14_DROME	A8DZ14	FBgn0000636	Fas3
ACTN_DROME	P18091	FBgn0000667	Actn
FLII_DROME	Q24020	FBgn0000709	fliI
Q8T0U6_DROME	Q8T0U6	FBgn0000711	flw
FPS_DROME	P18106	FBgn0000723	FER
BNB_DROME	P29746	FBgn0001090	bnb
G3P1_DROME	P07486	FBgn0001091	Gapdh1
DHE3_DROME	P54385	FBgn0001098	Gdh
DCTN1_DROME	P13496	FBgn0001108	Gl
GLT_DROME	P33438	FBgn0001114	Glt
GNAO_DROME	P16378	FBgn0001122	Galphao
Q7YWB4_DROME	Q7YWB4	FBgn0001124	Got1
Q8IPY3_DROME	Q8IPY3	FBgn0001125	Got2
GLNA1_DROME	P20477	FBgn0001142	Gs1
GSTT1_DROME	P20432	FBgn0001149	GstD1
ERCC3_DROME	Q02870	FBgn0001179	hay
Q9W330_DROME	Q9W330	FBgn0001186	Hex-A
Q7JYW9_DROME	Q7JYW9	FBgn0001187	Hex-C
PH4H_DROME	P17276	FBgn0001208	Hn
HSP7A_DROME	P29843	FBgn0001216	Hsc70-1
HSP7B_DROME	P11146	FBgn0001217	Hsc70-2
HSP7C_DROME	P29844	FBgn0001218	Hsc70-3
HSP7E_DROME	P29845	FBgn0001220	Hsc70-5
HSP22_DROME	P02515	FBgn0001223	Hsp22
HSP23_DROME	P02516	FBgn0001224	Hsp23
HSP68_DROME	O97125	FBgn0001230	Hsp68
IDE_DROME	P22817	FBgn0001247	Ide
B7Z0E0_DROME	B7Z0E0	FBgn0001248	Idh
ITA2_DROME	P12080	FBgn0001250	if
Q9VSJ0_DROME	Q9VSJ0	FBgn0001253	ImpE1
LDH_DROME	Q95028	FBgn0001258	ImpL3
INAD_DROME	Q24008	FBgn0001263	inaD
JANA_DROME	P20348	FBgn0001280	janA
KINH_DROME	P17210	FBgn0001308	Khc
B4YUS1_DROME	Q5LJP0	FBgn0001313	kl-2
GCP3_DROME	Q9XYP8	FBgn0001612	l(1)dd4
DLG1_DROME	P31007	FBgn0001624	dlg1
